"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Abat Oliba CEU";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.7";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.49";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.18";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.4";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.35";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.56";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.5";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.27";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.57";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.14";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.41";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.25";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.33";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.4";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.28";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
