"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Antonio de Nebrija";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.05";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.74";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.5";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.49";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.93";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.33";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.3";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.54";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.16";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"98.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.7";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.45";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.48";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.27";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.53";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.68";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.01";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.12";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.77";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.1";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.38";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.75";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.42";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.36";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.92";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.88";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.89";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.77";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.8";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.99";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.84";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.47";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.14";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.43";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.58";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.36";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.04";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.96";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.3";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.01";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.95";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.67";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.0";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.63";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.82";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"71.81";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.02";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.67";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.66";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.19";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.82";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.93";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.0";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.56";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.45";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.5";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.65";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.16";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.54";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.47";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.36";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.33";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"71.85";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.46";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.39";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.05";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.52";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.87";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.68";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.17";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.01";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.75";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"72.06";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.4";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.38";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.62";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.19";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.73";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.19";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.65";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.08";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.09";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.82";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"71.91";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.09";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.62";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.99";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.76";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"71.83";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.93";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.79";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.09";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.94";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.68";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.76";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.31";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.46";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.19";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.1";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.51";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.96";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.6";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.09";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.4";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.22";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.7";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"66.94";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"61.05";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.56";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.58";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.45";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.85";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.42";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.46";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
