"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Autónoma de Barcelona";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.9";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.77";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.55";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.39";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.27";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.49";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.41";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.59";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.18";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.39";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.62";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.34";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.08";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.27";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.02";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.86";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
