"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Camilo José Cela";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.37";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.77";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.15";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.49";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.89";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.05";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.65";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.72";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.86";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.75";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.87";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.72";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"98.26";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.14";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.4";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.89";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.98";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"98.03";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.8";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.69";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.31";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.38";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.9";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.8";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.47";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.65";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.43";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.41";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.46";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.78";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.54";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.5";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.22";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.62";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.05";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.18";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.85";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.21";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.49";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.38";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.94";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.26";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.88";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.23";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.9";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.45";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.29";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.97";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.97";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.22";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.54";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.11";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.68";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.69";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.11";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.55";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.57";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.83";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.54";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.66";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.09";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.75";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.87";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.38";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.63";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.24";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.93";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.31";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.64";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.02";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.57";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.68";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.25";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.94";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.28";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.49";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.56";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.05";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.74";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.47";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.7";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.47";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.26";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.51";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.62";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.55";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.29";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.15";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.4";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.16";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
