"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Cardenal Herrera-CEU";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.46";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.39";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.34";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.28";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.09";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.57";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.14";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.76";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.83";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.62";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.08";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.42";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.44";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.98";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.84";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.18";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.3";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.0";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.94";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.43";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.49";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.15";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.07";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.53";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.69";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.35";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
