"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Carlos III de Madrid";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.16";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.81";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.3";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.45";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.11";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.91";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.56";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.71";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.65";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.4";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.53";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.38";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.54";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.11";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.61";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.56";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.75";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.23";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.92";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
