"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Castilla-La Mancha";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.63";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.66";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.66";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.36";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.33";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.97";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.01";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.72";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.03";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.79";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.9";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.68";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.95";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.36";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.66";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.04";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.38";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.47";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.05";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.77";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.87";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.07";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.56";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.94";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.11";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.72";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.7";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.48";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.36";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.59";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.41";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.63";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.69";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.36";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.13";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.09";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.75";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.68";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.06";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.83";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.51";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.2";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.63";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.51";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.6";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.19";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.35";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.4";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.84";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.28";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.56";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"71.06";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.25";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.43";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.49";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.7";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.94";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.61";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.85";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.85";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.55";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.82";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.69";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.79";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.14";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.39";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.4";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.32";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.35";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.02";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.68";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.02";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.66";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.88";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.45";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"58.73";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"61.09";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"64.03";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.87";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"62.47";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"62.43";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"63.43";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"68.85";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.82";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.57";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.81";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.53";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.29";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.88";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.49";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.75";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.61";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.52";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.94";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.35";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.8";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"66.56";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"63.81";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"66.59";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.37";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"67.93";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"68.1";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"69.35";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.41";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"63.47";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"59.78";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"62.22";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"78.53";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"66.21";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"68.11";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"69.11";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.15";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"69.38";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"67.42";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"70.5";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.92";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"69.53";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"68.1";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"69.6";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.73";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"71.4";"Total Ciencias";"Ambos Sexos";"Rendimiento"
