"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Católica de Valencia San Vicente Mártir";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.15";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.35";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.33";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.74";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.37";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.57";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.06";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.5";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.65";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.19";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.35";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.36";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.01";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.5";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.95";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.52";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.04";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.21";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.24";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.3";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.07";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.74";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.2";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.39";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.47";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.15";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.33";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.48";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.66";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.47";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.11";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.16";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.39";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.43";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.99";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.18";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.71";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.75";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.18";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.22";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.2";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.19";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.1";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.76";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.61";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.24";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.04";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.51";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.32";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.43";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.67";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.8";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.9";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.85";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.31";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.04";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.71";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.23";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.75";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.02";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.44";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.92";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.15";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.38";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.05";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.46";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.44";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.24";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
