"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Cádiz";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.15";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.67";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.81";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.53";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.37";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.84";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.3";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.52";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.05";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.34";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
