"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Europea de Madrid";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.76";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.18";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.4";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.31";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.09";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.59";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.49";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"98.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.85";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.81";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.0";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.86";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.53";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.1";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.55";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.77";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"98.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.47";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.3";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.69";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.5";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.04";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.59";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.42";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.6";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.2";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.72";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.56";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.17";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
