"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Europea del Atlántico";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.54";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.03";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.07";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.56";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.66";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.03";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.68";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.86";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.32";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.47";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.91";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
