"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Extremadura";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.71";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.7";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.0";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.48";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.81";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.25";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.76";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.22";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.07";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.08";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.52";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.61";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.93";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.34";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.85";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.51";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.0";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.87";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.37";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.25";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.16";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.12";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.49";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.17";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.05";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.15";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.26";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.6";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.4";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.51";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.65";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.46";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.09";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.61";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.95";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.22";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.17";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.63";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.08";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.84";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.54";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.44";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.77";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.26";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.99";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.48";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.27";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.63";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.46";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.9";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.33";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.02";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.1";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.3";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.8";"Lenguas";"Ambos Sexos";"Rendimiento"
