"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Rendimiento"
"2022-2023";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2021-2022";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2020-2021";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2019-2020";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2018-2019";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2017-2018";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2016-2017";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2015-2016";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Exito"
"2022-2023";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Evaluacion"
"2021-2022";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Evaluacion"
"2020-2021";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Evaluacion"
"2019-2020";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Evaluacion"
"2018-2019";"???";"Fuente: Sistema Integrado de Información Universitaria (SIIU).";"Ambos Sexos";"Evaluacion"
