"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Huelva";"Ambos Sexos";"Rendimiento"
"2022-2023";"71.93";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.46";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.52";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.99";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.45";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.08";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.0";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.25";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.91";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.64";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.45";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.05";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.77";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.19";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
