"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"IE Universidad";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.56";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.9";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.16";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.97";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.34";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.74";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.63";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.6";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.89";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.08";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"99.05";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.58";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.18";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.35";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"98.46";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.95";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.92";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"99.18";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.83";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"99.66";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.86";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.71";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.42";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.3";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.66";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.56";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.43";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.07";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.46";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.8";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"99.41";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.76";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.78";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"98.54";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.57";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.67";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.45";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.66";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.12";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.85";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.07";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.19";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.83";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.26";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.38";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.24";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.6";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.91";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.89";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.17";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.97";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.6";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.67";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.39";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.33";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.13";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.07";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.51";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.87";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.22";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.43";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.06";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.17";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.78";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.13";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.9";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.19";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"99.0";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.95";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.62";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.76";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"98.02";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.9";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.36";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.38";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.61";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.38";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.61";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.7";"Total Informática";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.82";"Total Informática";"Ambos Sexos";"Rendimiento"
"2020-2021";"99.4";"Total Informática";"Ambos Sexos";"Rendimiento"
"2019-2020";"99.55";"Total Informática";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.66";"Total Informática";"Ambos Sexos";"Rendimiento"
