"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Internacional Valenciana";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.34";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.33";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.8";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.64";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.57";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.79";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.74";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.05";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.7";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.38";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.4";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.94";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.74";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.82";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.05";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.83";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.7";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.86";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.93";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.61";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.15";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.32";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.59";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.5";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.79";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"74.09";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.14";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"70.72";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.18";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.21";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"65.21";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"71.12";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"70.14";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"62.5";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.08";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.99";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.99";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"74.87";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.38";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"70.72";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.18";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.2";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.13";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.12";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.98";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.07";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.03";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.29";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.89";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"72.69";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"69.72";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.1";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"72.46";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"72.34";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"69.5";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.23";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.3";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.42";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.48";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.52";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.53";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.41";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.35";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.11";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.18";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.94";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.71";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.1";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"70.38";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"60.6";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"61.48";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"65.9";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"54.12";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.87";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.81";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.05";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"74.16";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"58.12";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"55.35";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"64.43";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"59.93";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
