"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Internacional de Catalunya";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.48";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.86";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.63";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.71";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.09";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.76";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.66";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"98.47";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.87";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"98.38";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.69";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.39";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.87";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.94";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.82";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.42";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.38";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.99";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.21";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.6";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.88";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.34";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.73";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.9";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.58";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.96";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.96";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.56";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.21";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.93";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.5";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.74";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
