"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Internacional de La Rioja";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.99";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.62";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.92";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.3";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.95";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.39";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.36";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.66";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.06";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.62";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.09";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.06";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.08";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.24";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.71";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.55";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.23";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.34";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.12";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.73";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.18";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
