"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Jaume I de Castellón";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.68";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.39";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.41";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.81";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.89";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.48";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.79";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.91";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.01";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.52";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.36";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.27";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.92";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.35";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.36";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.84";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.8";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.17";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.26";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.8";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.38";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.3";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.62";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.34";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.6";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.16";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.32";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.54";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.35";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.82";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.39";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.43";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.02";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.29";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.2";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.47";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.77";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.28";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.82";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.17";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.01";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.56";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.75";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.19";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"68.5";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"66.02";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"72.13";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.98";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.02";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"68.13";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.86";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.6";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.9";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.89";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.38";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.55";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.22";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.74";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.0";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.36";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.46";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.4";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.68";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.32";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.36";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.74";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.82";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.41";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"65.44";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"61.0";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"66.36";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.7";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"65.58";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"69.92";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"69.39";"Economía";"Ambos Sexos";"Rendimiento"
