"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"La Rioja";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.36";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.47";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.07";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.12";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.36";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.53";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.04";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.02";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.22";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.81";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.64";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.94";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.06";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.48";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.11";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.34";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.49";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.3";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.35";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.41";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.79";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.03";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.76";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.85";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.4";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.79";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.11";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.35";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.77";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
