"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"León";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"León";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"León";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"León";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"León";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"León";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"León";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"León";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.43";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.31";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.22";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.0";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.08";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.58";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.33";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.63";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.6";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.31";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.32";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.56";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.92";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.87";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.09";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.65";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.99";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.12";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.39";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.35";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.92";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.18";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.27";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.59";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.22";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.25";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.25";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.84";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.97";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.09";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.25";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.64";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.27";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.68";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.04";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"78.61";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.36";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.89";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"71.19";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.63";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.41";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"71.49";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"74.49";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"61.9";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.41";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.55";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.7";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.75";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"72.77";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.75";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.55";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.35";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.33";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.52";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"71.04";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.45";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"70.72";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"70.67";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.65";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.97";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"68.62";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"68.89";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"68.64";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"70.78";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.1";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.73";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.12";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.77";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.3";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.06";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"67.82";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"65.59";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.54";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.53";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.35";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.18";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.58";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.16";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"65.75";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.39";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.42";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.13";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.93";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"65.18";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"67.78";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"69.86";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.39";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.13";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.91";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.6";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.02";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.2";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.1";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.34";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
