"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Lleida";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.93";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.48";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.52";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.06";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.74";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.76";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.42";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.76";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.24";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.87";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.16";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.61";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.08";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.74";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.6";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.91";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.79";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.42";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.31";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.07";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.93";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.71";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.65";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.67";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.75";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.67";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.96";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.21";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.25";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.14";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.94";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.68";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.77";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.66";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.45";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.06";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.15";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"59.45";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.7";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"75.06";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.61";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.7";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.82";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.16";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.05";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.49";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.76";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"75.46";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.3";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.09";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.81";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.54";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.21";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.67";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.33";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.07";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.25";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.17";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.23";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"69.65";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.86";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.17";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.91";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.02";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.86";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.7";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.29";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.19";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.61";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.45";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.31";"Psicología";"Ambos Sexos";"Rendimiento"
