"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Mondragón Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.71";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.16";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.9";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.55";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.31";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.04";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.31";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.35";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.99";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.3";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.09";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.65";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.06";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.39";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.7";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.97";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.27";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.8";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.01";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.36";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.54";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.4";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.59";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.04";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.07";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.47";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.67";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.14";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.86";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.21";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.63";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.67";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.14";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.92";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.81";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.93";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
