"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Murcia";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.47";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.68";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.13";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.92";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.47";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.13";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.48";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.62";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.14";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.46";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.15";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.83";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.01";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.18";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.94";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.14";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.15";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.8";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.27";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.45";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.23";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.77";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.21";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.71";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.1";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.34";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.16";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.42";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.83";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.68";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.54";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.96";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.62";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.74";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.76";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.94";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.72";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.25";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.11";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.7";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.6";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.27";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.35";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.14";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.7";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.97";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.09";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.74";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.48";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.99";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.31";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.6";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.63";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.0";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.64";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.6";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.44";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.59";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.17";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.95";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.58";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.9";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.79";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.58";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.34";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.28";"Humanidades";"Ambos Sexos";"Rendimiento"
