"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Málaga";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.64";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.55";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.63";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.75";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.02";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.08";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.26";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.07";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.9";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.69";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.8";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.22";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.69";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.7";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.17";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.09";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.74";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.01";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.92";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.94";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.44";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.85";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.1";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.04";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.29";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.15";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.22";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.88";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.23";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.0";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.99";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.54";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.85";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.78";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.06";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.28";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.73";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.5";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.18";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.9";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.17";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.58";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.15";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.7";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.78";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.53";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.58";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.94";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.12";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.43";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.53";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.29";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.11";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.12";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.6";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.5";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.8";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"67.87";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.45";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.77";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.9";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"69.89";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"70.01";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.86";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.96";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.68";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.3";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
