"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Nacional de Educación a Distancia";"Ambos Sexos";"Rendimiento"
"2022-2023";"42.47";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"40.03";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"59.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"58.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"43.39";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"44.62";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"44.5";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"44.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"53.91";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"54.94";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"74.05";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"55.94";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"59.65";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"58.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"59.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"46.99";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"58.71";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"54.94";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.24";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"74.05";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"55.94";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"59.65";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"58.96";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"59.17";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"47.29";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"44.75";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"59.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"59.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"45.7";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"47.96";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"47.71";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"47.1";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"50.31";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"46.57";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"62.37";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"62.1";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"48.64";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"51.36";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"52.45";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"52.38";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"45.4";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"44.64";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"59.76";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"62.02";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"47.95";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"49.57";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"47.57";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"46.56";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"46.92";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"43.77";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"58.46";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"56.87";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"41.88";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"44.25";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"44.63";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"43.98";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"42.66";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"39.71";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"60.3";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"60.44";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"44.66";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"45.18";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"46.13";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"45.99";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"41.02";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"36.99";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"59.26";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"61.18";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"45.69";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"46.77";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"46.94";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"47.2";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"30.15";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"29.39";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"49.42";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"47.4";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"34.42";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"33.69";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"34.77";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"33.3";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"49.66";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"48.6";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"65.38";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"61.78";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"44.81";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"44.19";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"48.22";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"47.27";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"36.61";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"35.41";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"60.76";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"56.11";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"40.5";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"40.16";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"39.18";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"38.53";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"35.82";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"33.78";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"54.16";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"50.81";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"37.04";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"37.58";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"34.9";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"35.3";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"37.05";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"36.3";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"64.51";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"59.17";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"42.49";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"41.64";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"41.73";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"40.63";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"30.52";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"28.65";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"43.11";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"41.01";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"30.36";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"32.86";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"33.45";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"33.27";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"41.36";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"37.81";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
