"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Notas:";"Ambos Sexos";"Rendimiento"
"2022-2023";"???";"Notas:";"Ambos Sexos";"Exito"
"2021-2022";"???";"Notas:";"Ambos Sexos";"Exito"
"2020-2021";"???";"Notas:";"Ambos Sexos";"Exito"
"2019-2020";"???";"Notas:";"Ambos Sexos";"Exito"
"2018-2019";"???";"Notas:";"Ambos Sexos";"Exito"
"2017-2018";"???";"Notas:";"Ambos Sexos";"Exito"
"2016-2017";"???";"Notas:";"Ambos Sexos";"Exito"
"2015-2016";"???";"Notas:";"Ambos Sexos";"Exito"
"2022-2023";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2021-2022";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2020-2021";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2019-2020";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2018-2019";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2017-2018";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2016-2017";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2015-2016";"???";"Notas:";"Ambos Sexos";"Evaluacion"
"2022-2023";"???";"Notas:";"Hombres";"Rendimiento"
"2021-2022";"???";"Notas:";"Hombres";"Rendimiento"
"2020-2021";"???";"Notas:";"Hombres";"Rendimiento"
"2019-2020";"???";"Notas:";"Hombres";"Rendimiento"
"2018-2019";"???";"Notas:";"Hombres";"Rendimiento"
"2017-2018";"???";"Notas:";"Hombres";"Rendimiento"
"2016-2017";"???";"Notas:";"Hombres";"Rendimiento"
"2015-2016";"???";"Notas:";"Hombres";"Rendimiento"
"2022-2023";"???";"Notas:";"Hombres";"Exito"
"2021-2022";"???";"Notas:";"Hombres";"Exito"
"2020-2021";"???";"Notas:";"Hombres";"Exito"
"2019-2020";"???";"Notas:";"Hombres";"Exito"
"2018-2019";"???";"Notas:";"Hombres";"Exito"
"2017-2018";"???";"Notas:";"Hombres";"Exito"
"2016-2017";"???";"Notas:";"Hombres";"Exito"
"2015-2016";"???";"Notas:";"Hombres";"Exito"
"2022-2023";"???";"Notas:";"Hombres";"Evaluacion"
"2021-2022";"???";"Notas:";"Hombres";"Evaluacion"
"2020-2021";"???";"Notas:";"Hombres";"Evaluacion"
"2019-2020";"???";"Notas:";"Hombres";"Evaluacion"
"2018-2019";"???";"Notas:";"Hombres";"Evaluacion"
"2017-2018";"???";"Notas:";"Hombres";"Evaluacion"
"2016-2017";"???";"Notas:";"Hombres";"Evaluacion"
"2015-2016";"???";"Notas:";"Hombres";"Evaluacion"
"2022-2023";"???";"Notas:";"Mujeres";"Rendimiento"
"2021-2022";"???";"Notas:";"Mujeres";"Rendimiento"
"2020-2021";"???";"Notas:";"Mujeres";"Rendimiento"
"2019-2020";"???";"Notas:";"Mujeres";"Rendimiento"
"2018-2019";"???";"Notas:";"Mujeres";"Rendimiento"
"2017-2018";"???";"Notas:";"Mujeres";"Rendimiento"
"2016-2017";"???";"Notas:";"Mujeres";"Rendimiento"
"2015-2016";"???";"Notas:";"Mujeres";"Rendimiento"
"2022-2023";"???";"Notas:";"Mujeres";"Exito"
"2021-2022";"???";"Notas:";"Mujeres";"Exito"
"2020-2021";"???";"Notas:";"Mujeres";"Exito"
"2019-2020";"???";"Notas:";"Mujeres";"Exito"
"2018-2019";"???";"Notas:";"Mujeres";"Exito"
"2017-2018";"???";"Notas:";"Mujeres";"Exito"
"2016-2017";"???";"Notas:";"Mujeres";"Exito"
"2015-2016";"???";"Notas:";"Mujeres";"Exito"
"2022-2023";"???";"Notas:";"Mujeres";"Evaluacion"
"2021-2022";"???";"Notas:";"Mujeres";"Evaluacion"
"2020-2021";"???";"Notas:";"Mujeres";"Evaluacion"
"2019-2020";"???";"Notas:";"Mujeres";"Evaluacion"
"2018-2019";"???";"Notas:";"Mujeres";"Evaluacion"
"2017-2018";"???";"Notas:";"Mujeres";"Evaluacion"
"2016-2017";"???";"Notas:";"Mujeres";"Evaluacion"
"2015-2016";"???";"Notas:";"Mujeres";"Evaluacion"
