"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Oberta de Catalunya";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.59";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.73";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.03";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.95";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.1";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.86";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.67";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.91";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.08";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.26";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.59";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.63";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.86";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.17";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.13";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.67";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.38";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.91";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.76";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.1";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.76";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.61";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.8";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
