"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Oviedo";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.88";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.65";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.03";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.93";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.79";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.63";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
