"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Politècnica de València";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.43";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.96";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.68";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.77";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.36";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.48";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.71";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.71";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.51";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.52";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.83";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.56";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.58";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.52";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.83";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.76";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.31";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.93";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.39";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.7";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.73";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.91";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.17";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.2";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.15";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.0";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.39";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.29";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.55";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.27";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.28";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.51";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.67";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.77";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.86";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.99";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.36";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.27";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.28";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.51";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.67";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.77";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.86";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.99";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.36";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.24";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.92";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.49";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.71";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.42";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.79";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.76";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.22";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.58";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.39";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.42";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.96";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.35";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.79";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.76";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.22";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.05";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.35";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.31";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.92";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.66";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.67";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.03";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
