"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Pompeu Fabra";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.86";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.47";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
