"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Pontificia Comillas";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.07";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.81";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.95";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.03";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.75";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.5";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.55";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.58";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.06";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.73";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.05";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.42";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.27";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.86";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.35";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.01";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.24";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
