"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Ramón Llull";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.89";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.93";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.76";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.02";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.96";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.32";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.0";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.63";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.95";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.11";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.38";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.05";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.86";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.25";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.4";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.3";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.34";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.0";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.96";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.45";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.18";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.01";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.52";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.0";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.77";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.75";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.32";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.39";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.09";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.96";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.69";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.91";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.31";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.44";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.58";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.78";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.46";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.05";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.08";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.92";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.59";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.79";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.46";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.78";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.34";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.5";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.72";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.37";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.87";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.45";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.8";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.01";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.73";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.19";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.6";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.09";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.49";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.14";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.79";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.61";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.32";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.51";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.1";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.15";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.68";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.56";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.18";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.15";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.03";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.58";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.02";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.38";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.58";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.96";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.32";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.01";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.75";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.21";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.68";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.35";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.39";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.16";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.62";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.28";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.75";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.0";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.59";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.61";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.98";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.25";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.71";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.04";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.34";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.76";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.66";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.08";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.61";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.8";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.14";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.39";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.99";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.47";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.96";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.45";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.06";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.52";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.56";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.88";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.33";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.59";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.2";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.61";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.59";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.31";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.42";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.74";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.54";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.82";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.63";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.67";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.49";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.45";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.9";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.45";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.2";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.2";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.9";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.36";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.86";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.23";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.43";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.88";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.24";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.92";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.57";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.44";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.63";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.39";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.94";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.55";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.79";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.62";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.33";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.72";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.1";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.94";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.73";"Total Informática";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.57";"Total Informática";"Ambos Sexos";"Rendimiento"
"2020-2021";"76.62";"Total Informática";"Ambos Sexos";"Rendimiento"
