"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Rovira i Virgili";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.01";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.37";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.97";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.34";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.63";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.03";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.47";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.31";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.75";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.63";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.99";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.81";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.46";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.19";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.71";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.52";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.2";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.54";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.22";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.22";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.13";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.05";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.84";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.23";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.56";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.57";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.73";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.21";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.76";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.11";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.18";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.15";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.61";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.77";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.07";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.11";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.75";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.44";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.68";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.47";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.32";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.31";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.7";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.43";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.31";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.27";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.36";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.98";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.95";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.66";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.17";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.21";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.19";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.04";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.2";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.25";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.71";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.72";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.73";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.1";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.54";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.45";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.24";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.96";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.97";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.3";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.45";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.34";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.41";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.43";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.38";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.35";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.8";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.18";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.46";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.63";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.91";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.35";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.56";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.64";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.49";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.72";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.58";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.82";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.35";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.92";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"67.32";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"66.09";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"67.17";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"73.21";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"68.15";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"68.22";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"63.01";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"67.12";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.14";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"72.53";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.39";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"78.18";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
