"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Salamanca";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.73";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.84";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.22";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.94";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.88";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.32";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.56";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.03";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.23";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.83";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.48";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.55";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.18";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.64";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.94";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.74";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.91";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.4";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.99";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.45";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.19";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.0";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.97";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.78";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.81";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.28";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.54";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.19";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.27";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.62";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.61";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.86";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.15";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.34";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.14";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.1";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.61";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.17";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.47";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.74";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.78";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.68";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.14";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.08";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.73";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.52";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.7";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.0";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.05";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.09";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.14";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.47";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.9";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.66";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.37";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.18";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.22";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.51";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.38";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.22";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.52";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.98";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.6";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.35";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.32";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.99";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.14";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.18";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.28";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.55";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.08";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.57";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.03";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.77";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.49";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.04";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.1";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.15";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.06";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.2";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.77";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.86";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.42";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.32";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.69";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.2";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.45";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.83";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.49";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.46";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.37";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.85";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.53";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.54";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.85";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.17";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.01";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.15";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.29";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.93";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.61";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.65";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.67";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.05";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.02";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.12";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.75";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.75";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.01";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.18";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"73.96";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.32";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.25";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.27";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.98";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.54";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.12";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"70.95";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.44";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"72.51";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.72";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.12";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.63";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.11";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.96";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.12";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.08";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.84";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.82";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.08";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.05";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.03";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.96";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.45";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.62";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.18";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.98";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.04";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.22";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.7";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.88";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.79";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.26";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.15";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.89";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.07";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.85";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.72";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.75";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.62";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.27";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.82";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2020-2021";"70.06";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
