"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"San Jorge";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.3";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.63";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.89";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.75";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.33";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.35";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.88";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.89";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"98.92";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.58";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.99";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.04";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.84";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.18";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.89";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.95";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.69";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.94";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.15";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.25";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.65";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
