"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"San Pablo-CEU";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.75";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.47";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.88";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.59";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.1";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.86";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.07";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.44";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"98.09";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.66";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.35";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.14";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.18";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.91";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.35";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.02";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.6";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.63";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.3";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.77";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.14";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.78";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.46";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.59";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.46";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.11";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.01";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.59";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.5";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.82";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.51";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.47";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.65";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.81";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.08";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.84";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.6";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.58";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.08";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.1";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.13";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.81";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.55";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.13";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.73";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.59";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.52";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.96";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.75";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.64";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.23";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.12";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.83";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.97";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.2";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.63";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.06";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"72.87";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.95";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.33";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.02";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.67";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.36";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.05";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.54";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.95";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.14";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.29";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.17";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.26";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.37";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.15";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.96";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.67";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.24";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
