"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Universidades Privadas";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.66";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.02";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.68";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.35";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.36";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.36";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.06";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.58";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.53";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.23";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.48";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.87";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.9";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.98";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.09";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.26";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.15";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.27";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.35";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.14";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.11";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.24";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.01";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.15";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.47";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.1";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.87";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.69";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.44";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.18";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.15";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.31";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.96";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.26";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.61";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.78";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.73";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.13";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.41";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.91";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.44";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.52";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.08";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.3";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.35";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.36";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.13";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.37";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.95";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.8";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.29";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.17";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.2";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.67";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.74";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.22";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.13";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.95";"Lenguas";"Ambos Sexos";"Rendimiento"
