"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Universidades Privadas No Presenciales";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.96";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.47";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.02";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.13";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.9";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.22";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.25";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.97";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.22";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.9";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.57";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.18";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.62";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.12";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.31";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.24";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.99";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.88";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.97";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.14";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.01";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.03";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.15";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.83";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.1";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.18";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.51";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.6";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.13";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.67";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.38";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.91";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.1";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.98";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.52";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.37";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.3";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.58";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.25";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.93";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.07";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.73";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.95";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.01";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.65";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.81";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.23";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.89";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.32";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.87";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.18";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.86";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"70.68";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.03";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"69.11";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.51";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.11";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.53";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.58";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.07";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.16";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.56";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.64";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.17";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.18";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.62";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.46";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.83";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.85";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.4";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.48";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.75";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.26";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.6";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.4";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.86";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.94";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.09";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.98";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.27";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.0";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.93";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.09";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.24";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.28";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.99";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.38";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.4";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.14";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.87";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.28";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"69.25";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"64.1";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"57.78";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.37";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.6";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.23";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.25";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.56";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.36";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.8";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.19";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.34";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.43";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.17";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.55";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.59";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.38";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.14";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.53";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.33";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.78";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.47";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.65";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.59";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
