"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Universidades Públicas";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.63";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.89";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.66";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.52";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.5";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.97";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.34";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.3";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.71";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.07";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.11";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.47";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.47";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.55";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.03";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.3";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.5";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.37";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.32";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.45";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.27";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.06";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.52";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.21";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.17";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.59";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.34";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.83";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.19";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.97";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.18";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.1";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.47";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.38";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.54";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.24";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.34";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.61";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.8";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.56";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.32";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.0";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.22";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.64";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.91";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.03";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.69";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.83";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.32";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.23";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.24";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.73";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.07";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.09";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.98";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.5";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.93";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.47";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.88";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.07";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.65";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.71";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.93";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"69.7";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"70.04";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"70.53";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.61";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.42";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"72.39";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.79";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.14";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.4";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.11";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.13";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.83";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"70.19";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"66.65";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"76.76";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.49";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.67";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.63";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"70.64";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.03";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"68.35";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"66.28";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"71.06";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.92";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"67.74";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"67.58";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"67.31";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"67.36";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.95";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.91";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.81";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.36";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.16";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.67";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.65";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.5";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.33";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.29";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.11";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.39";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.2";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.88";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.07";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.45";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.75";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"70.2";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.49";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.26";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.73";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
