"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Universidades Públicas Presenciales";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.01";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.8";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.93";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.07";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.6";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.59";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.2";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.71";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.07";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.11";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.47";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.47";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.55";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.03";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.3";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.5";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.37";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.32";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.67";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.31";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.68";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.54";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.53";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.85";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.91";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.03";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.95";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.94";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.63";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.73";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.66";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.74";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.89";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.29";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.24";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.34";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.61";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.8";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.56";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.32";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.0";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.22";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.87";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.97";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.8";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.27";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.52";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.79";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.85";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.11";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.13";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.89";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.1";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.83";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.17";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.41";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.28";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.95";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.0";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.5";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.8";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.38";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.74";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.45";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.18";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.56";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.04";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.8";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.7";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.31";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.0";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.86";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.93";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.12";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.62";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.05";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.98";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.73";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.73";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.78";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.42";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"70.88";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.03";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.09";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.19";"Economía";"Ambos Sexos";"Rendimiento"
