"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Vic-Central de Catalunya";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.54";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.0";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.78";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.91";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.86";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.36";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.25";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.57";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.42";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.8";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.25";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.11";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.91";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.69";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.38";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.42";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.53";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.37";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.17";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.93";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.03";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.72";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.98";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.47";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.83";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.62";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.02";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.37";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.34";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.37";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.57";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.6";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.48";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.42";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.21";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.06";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.99";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.33";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.38";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.46";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.77";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.71";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.78";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.35";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
