"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Vigo";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.2";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.05";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.31";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.17";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.36";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"71.97";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.85";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.65";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.85";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.3";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.59";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.0";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.57";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.55";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.17";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.62";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.25";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.37";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.69";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.44";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.39";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.49";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.83";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.99";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.67";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.28";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.07";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.6";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.96";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
