"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Zaragoza";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.74";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.49";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.5";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.7";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.18";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.26";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.76";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.58";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.25";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.45";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.08";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.09";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.27";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.26";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
