"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"A Coruña";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.63";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.08";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.35";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.34";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.05";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"71.52";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.07";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.63";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.52";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.66";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.47";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.18";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.11";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.8";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.99";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.21";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.49";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.54";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.28";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.73";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.54";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.33";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.07";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.81";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.24";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.49";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.95";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.93";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.5";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.16";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.07";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.02";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.86";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.95";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.54";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.26";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.38";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.4";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.37";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.42";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.99";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.32";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.13";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.77";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
