"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"A Distancia de Madrid";"Ambos Sexos";"Rendimiento"
"2022-2023";"69.78";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"72.68";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.62";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"69.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.88";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.72";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.36";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.97";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.85";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.57";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.24";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.19";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.22";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
