"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Alcalá";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.75";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.78";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.65";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.28";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.28";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.32";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.4";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.7";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.4";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.29";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.77";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.8";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.99";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.08";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.0";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.09";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.74";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.94";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.4";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.35";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.79";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.47";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.56";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.03";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.54";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.46";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.27";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.11";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.22";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.49";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.07";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.46";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.26";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.39";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.19";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.39";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.39";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.84";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.49";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.95";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.01";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.44";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.22";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.94";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.04";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.67";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.89";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.76";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.61";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.1";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.33";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.33";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.09";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.58";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.36";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.34";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.36";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.67";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.7";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.06";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.97";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.46";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.46";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.18";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.07";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.03";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.47";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.94";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.46";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.79";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.14";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.28";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.74";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.62";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.67";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.38";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.01";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.93";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.64";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.99";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.42";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.5";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.95";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.28";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.23";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.36";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.75";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.61";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
