"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Alfonso X El Sabio";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.36";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.88";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.62";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.76";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.36";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.6";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.58";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.88";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"99.7";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.6";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.71";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.58";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.19";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"97.78";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"99.7";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.09";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.07";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.04";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.98";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.78";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.55";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.52";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.46";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.61";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.72";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.48";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.66";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.03";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.43";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.63";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.92";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.93";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.78";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"98.85";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.01";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.8";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.83";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.67";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.32";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.83";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.79";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.83";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.52";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.86";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
