"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Alicante";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.07";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.22";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.35";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.08";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.25";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.05";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.18";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.09";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.21";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.38";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.64";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.49";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.26";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.23";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.04";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.87";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.96";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.72";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.43";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.11";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.46";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.69";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.72";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.74";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.88";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.14";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.29";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.74";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.62";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.34";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.97";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.02";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.67";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.43";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.94";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.17";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.28";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.0";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.1";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.88";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.38";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.35";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.43";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.12";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.52";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.38";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.35";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.82";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.98";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.08";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.79";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"69.94";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.82";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.93";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.38";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"74.3";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.36";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.42";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.73";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.56";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.55";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.17";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.51";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.77";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.62";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.22";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.45";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
