"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Almería";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.12";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"76.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.37";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.01";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.48";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.22";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.25";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.46";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.47";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.88";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.11";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.42";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.21";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.1";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.0";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.99";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.17";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.54";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.72";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.09";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.26";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.42";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.35";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.62";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.29";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.29";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.77";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.25";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.15";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"67.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.0";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.84";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.94";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.12";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.01";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.8";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.23";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.42";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.9";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.09";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.74";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.6";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.39";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.91";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"69.59";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"63.14";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"72.09";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.27";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"67.86";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"68.9";"Humanidades";"Ambos Sexos";"Rendimiento"
