"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Autónoma de Madrid";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.17";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.16";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.66";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.37";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.07";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.05";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.89";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.91";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.8";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.0";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.29";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
