"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Barcelona";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.74";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.8";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.45";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.2";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.64";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.5";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.85";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.04";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.02";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.52";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.31";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.95";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.09";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.86";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.52";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.41";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.83";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.77";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.42";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.88";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.46";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.91";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.5";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.23";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.2";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.5";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.53";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.64";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.06";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.32";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.62";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.36";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.56";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.09";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.62";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.21";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.56";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.86";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.23";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.5";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.02";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.66";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.91";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.71";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.75";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.82";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.83";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.09";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.43";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.36";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.31";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.99";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.85";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.54";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.35";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.39";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.57";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.79";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.97";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.54";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.84";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.04";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.68";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.55";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.39";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.01";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.57";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.0";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.37";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.77";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.98";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.54";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.04";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.92";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.79";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.76";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.36";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.88";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.67";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.75";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.19";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"70.28";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"68.47";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.22";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.09";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"68.31";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.62";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"70.27";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"69.13";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.02";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.09";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.92";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.19";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.66";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.33";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.75";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.6";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.59";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"67.82";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.46";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.0";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.73";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.74";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.71";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.28";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.06";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.75";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.82";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.18";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.45";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.78";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.99";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.36";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.31";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.23";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.57";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.32";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.14";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.77";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.02";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.2";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.29";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.4";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.93";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.51";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.55";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.2";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.5";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.06";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.78";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.42";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.66";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.91";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.38";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.9";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.29";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.55";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.28";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.37";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.9";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.06";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.91";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.64";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.88";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.58";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.59";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.12";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.84";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.05";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.81";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.37";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.08";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
