"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Burgos";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.67";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.86";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.54";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.94";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.09";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.47";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.77";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.75";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.12";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.07";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.62";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.36";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.52";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.04";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.81";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.28";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.93";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.89";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.7";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.64";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.56";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.81";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.5";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
