"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Cantabria";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.96";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.81";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.67";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.56";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.43";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.77";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.14";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.0";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.0";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.75";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.23";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.94";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.25";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.16";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.95";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.92";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.79";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.28";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.74";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.68";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.91";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.98";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.13";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.02";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.59";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.5";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.24";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.28";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.25";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.49";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
