"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Católica San Antonio";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.07";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.43";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.57";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.85";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.23";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.88";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.44";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.14";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.65";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.85";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.26";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.94";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.7";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.7";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.42";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.25";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.89";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.52";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.06";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.48";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.7";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.31";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.62";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.03";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.96";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.57";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.21";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.83";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.23";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.84";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.09";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.54";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.05";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.4";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.32";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"76.6";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.45";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"68.93";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.2";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.53";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.71";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
