"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Católica Santa Teresa de Jesús de Ávila";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.59";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"69.35";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"69.65";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"70.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"70.4";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.42";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.58";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.97";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.55";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.75";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.62";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.04";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.34";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.05";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.66";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.21";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.23";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.86";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.52";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.72";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.1";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.98";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.7";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.81";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.4";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
