"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Complutense de Madrid";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.86";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.3";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.2";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.07";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.56";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.88";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.2";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.2";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.89";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.72";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.07";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.31";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.29";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.42";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.9";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.42";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.07";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.37";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.89";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.35";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.5";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.59";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.22";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.06";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
