"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Córdoba";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.16";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.65";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.73";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.71";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.32";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.67";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.62";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.62";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.45";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.89";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.92";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.25";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.1";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.6";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.98";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.19";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.02";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.55";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
