"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Deusto";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.39";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.62";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.52";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.91";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.57";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.67";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.71";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.36";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.56";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.67";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.66";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.35";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.39";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.18";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.91";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.16";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.52";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.64";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.14";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.41";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.63";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.68";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.2";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.83";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.33";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.44";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.34";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.75";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.7";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.7";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.32";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.74";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.01";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.5";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.25";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.2";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.25";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.73";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.11";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.95";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.8";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.02";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.89";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.88";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.94";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.04";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.49";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.72";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.22";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.53";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.95";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.09";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.1";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.04";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.57";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.11";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.04";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.09";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.31";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.14";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.06";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.14";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"97.44";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"97.04";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.25";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.8";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"96.46";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.79";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.08";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.5";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.16";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.69";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.51";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.14";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.87";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.07";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.95";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.26";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.24";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.37";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.52";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.11";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.71";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.69";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.77";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.47";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.45";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.28";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.69";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.22";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.02";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.05";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.99";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.17";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.22";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.44";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.17";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.29";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.73";"Derecho";"Ambos Sexos";"Rendimiento"
