"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Europea Miguel de Cervantes";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.48";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.39";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.62";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.39";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.14";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.13";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.32";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.76";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.19";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.22";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.82";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.54";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.94";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.32";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.76";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.19";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.22";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.82";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.54";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.87";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.94";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.18";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
