"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Fernando Pessoa-Canarias (UFP-C)";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.99";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.46";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.61";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.34";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.68";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.64";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.58";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
