"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Francisco de Vitoria";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.01";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.95";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.76";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.16";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.04";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.02";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.53";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.62";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.1";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.17";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.24";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.75";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.05";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.1";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.02";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.36";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.77";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.15";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.18";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.16";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.45";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.34";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.71";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.5";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
