"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Girona";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.81";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.16";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.0";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.05";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.93";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.18";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.2";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.56";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.11";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.95";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.83";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.37";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.47";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.78";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"98.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.33";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"97.78";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.29";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.89";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
