"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Granada";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.88";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.15";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.87";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.99";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.89";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.07";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.18";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.53";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.9";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.31";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.57";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.13";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.77";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.8";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.55";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
